Dimensao,Grupo,Total_Municipios,Balanced_Accuracy,ROC_AUC,Recall_Risco_Classe0,Precision_Risco_Classe0,Recall_Sucesso_Classe1,Taxa_Atingimento_Real,Taxa_Atingimento_Predita,Acuracia_Global
Grande Região,Centro-Oeste,824,0.848982064237804,0.9316047631711137,0.8367816091954023,0.8708133971291866,0.8611825192802056,0.4720873786407767,0.49271844660194175,0.8483009708737864
Grande Região,Nordeste,1855,0.8417781016963475,0.9308152185394089,0.8555992141453831,0.858128078817734,0.8279569892473119,0.45121293800539086,0.4528301886792453,0.8431266846361186
Grande Região,Norte,1449,0.8451963534361852,0.9242379489603025,0.8586956521739131,0.8404255319148937,0.8316970546984572,0.49206349206349204,0.4810213940648723,0.8454106280193237
Grande Região,Sudeste,824,0.8158719604863222,0.9133649553571429,0.8258928571428571,0.835214446952596,0.8058510638297872,0.4563106796116505,0.46237864077669905,0.816747572815534
Grande Região,Sul,618,0.8393707241716322,0.9348235022121335,0.8746177370030581,0.8338192419825073,0.8041237113402062,0.470873786407767,0.4449838187702265,0.8414239482200647
Faixa de IDHM,Baixo IDHM,1893,0.8523907128280406,0.9359498630553865,0.8790322580645161,0.847424684159378,0.8257491675915649,0.47596407818277864,0.45641838351822506,0.8536714210248283
Faixa de IDHM,Médio IDHM,1845,0.836279660016527,0.9282475504662968,0.8527918781725888,0.8442211055276382,0.8197674418604651,0.46612466124661245,0.46070460704607047,0.8373983739837398
Faixa de IDHM,Alto IDHM,1832,0.8303675593364628,0.9164841159931176,0.8216818642350557,0.856388595564942,0.8390532544378698,0.46124454148471616,0.48307860262008734,0.8296943231441049
Nacional,Brasil (Global),5570,0.8396518001124779,0.9270927518039445,0.8512145748987854,0.8492090205318075,0.8280890253261703,0.46786355475763014,0.46660682226211847,0.840394973070018
