Modelo,CV Bal Acc (Média ± DP),CV ROC-AUC,Teste Balanced Acc,Teste ROC-AUC,Teste Recall Risco (Classe 0),Teste Recall Sucesso (Classe 1),Teste Precision Risco,Teste F1 Macro,Teste Acurácia Global
Regressão Logística (Baseline),0.7879 ± 0.0092,0.8764,0.8377,0.9287,0.8462,0.8292,0.8493,0.8376,0.8382
Random Forest Classifier (Otimizado),0.7866 ± 0.0094,0.867,0.8365,0.9163,0.8667,0.8062,0.8357,0.8373,0.8384
HistGradientBoosting Classifier (Otimizado),0.7883 ± 0.0088,0.8733,0.8397,0.9271,0.8512,0.8281,0.8492,0.8397,0.8404
Soft Voting Ensemble (HGB + RF + LogReg),0.7880 ± 0.0097,0.8748,0.8367,0.9272,0.8546,0.8189,0.8429,0.837,0.8379
